PosterID|DateTimeCreated|CreatedByUser|MovieID|Filename|Type|Size|MouseoverTitle
1|2018-03-02 10:32:31.8242681|1|19|tt0145487|jpg|49460|Spider-Man
2|2018-03-02 10:35:20.7316548|1|24|tt0372784|jpg|36949|Batman Begins
3|2018-03-02 10:35:26.0360069|1|46|tt0372784|jpg|36949|Batman Begins
4|2018-03-02 10:35:31.2825219|1|39|tt0450259|jpg|48906|Blood Diamond
5|2018-03-02 10:35:35.5910289|1|40|tt0450259|jpg|48906|Blood Diamond
6|2018-03-02 10:35:44.1137869|1|30|tt0418689|jpg|24309|Flags of our Fathers
7|2018-03-02 10:35:53.0980420|1|43|tt0099685|jpg|28240|Goodfellas
8|2018-03-02 10:35:58.0235838|1|47|tt0360717|jpg|36768|King Kong
9|2018-03-02 10:36:02.0496070|1|17|tt0360717|jpg|36768|King Kong
10|2018-03-02 10:36:07.5947420|1|5|tt4649466|jpg|35727|Kingsman: The Golden Circle
11|2018-03-02 10:36:12.1668179|1|4|tt2802144|jpg|34129|Kingsman: The Secret Service
12|2018-03-02 10:36:19.7687559|1|33|tt0441773|jpg|33808|Kung Fu Panda
13|2018-03-02 10:36:26.9139220|1|41|tt0441773|jpg|33808|Kung Fu Panda
14|2018-03-02 10:36:39.8083178|1|36|tt3783958|jpg|19282|La La Land
15|2018-03-02 10:38:15.7049939|1|23|tt0110413|jpg|39076|L+®on: The Professional
16|2018-03-02 10:38:22.2797510|1|29|tt0498380|jpg|27968|Letters from Iwo Jima
17|2018-03-02 10:38:30.4516160|1|44|tt0242653|jpg|33438|Matrix Revolutions
18|2018-03-02 10:44:20.9046220|1|12|tt0364569|jpg|44284|Oldboy
19|2018-03-02 10:44:38.3149430|1|10|tt0242653|jpg|33438|Matrix Revolutions
20|2018-03-02 10:44:45.1531150|1|45|tt0101640|jpg|45030|Raise the Red Lantern
21|2018-03-02 10:46:32.5757889|1|31|tt0425637|jpg|44843|Red Cliff
22|2018-03-02 10:46:43.5290689|1|32|tt1326972|jpg|47356|Red Cliff II
23|2018-03-02 10:46:55.3781619|1|21|tt0120915|jpg|30691|Star Wars: Episode I - The Phantom Menace
24|2018-03-02 10:47:02.5449829|1|22|tt0121766|jpg|26523|Star Wars: Episode III - Revenge of the Sith
25|2018-03-02 10:47:12.1202440|1|7|tt0386064|jpg|52277|Tae Guk Gi: The Brotherhood of War
26|2018-03-02 10:47:20.1185870|1|15|tt0405422|jpg|38622|The 40-Year-Old Virgin
27|2018-03-02 10:47:28.0046811|1|13|tt0328832|jpg|46902|The Animatrix
28|2018-03-02 10:47:34.9456579|1|25|tt0468569|jpg|34443|The Dark Knight
29|2018-03-02 10:47:41.8390591|1|27|tt0468569|jpg|34443|The Dark Knight
30|2018-03-02 10:47:52.7561910|1|28|tt0468569|jpg|34443|The Dark Knight
31|2018-03-02 10:48:07.0178449|1|34|tt1330604|jpg|20462|The Dark Knight Project
32|2018-03-02 10:48:17.1221079|1|26|tt1345836|jpg|45033|The Dark Knight Rises
33|2018-03-02 10:48:21.6042239|1|11|tt0077416|jpg|39158|The Deer Hunter
34|2018-03-02 10:48:26.7173509|1|9|tt0077869|jpg|47044|The Lord of the Rings
35|2018-03-02 10:48:32.8873980|1|1|tt0120737|jpg|43128|The Lord of the Rings: The Fellowship of the Ring
36|2018-03-02 10:48:38.2906379|1|3|tt0167260|jpg|45444|The Lord of the Rings: The Return of the King
37|2018-03-02 10:50:40.4323270|1|2|tt0167261|jpg|37780|The Lord of the Rings: The Two Towers
38|2018-03-02 10:50:45.4090440|1|6|tt0133093|jpg|42138|The Matrix
39|2018-03-02 10:50:52.0173029|1|8|tt0234215|jpg|41142|The Matrix Reloaded
40|2018-03-02 10:50:56.5950911|1|37|tt1663202|jpg|34544|The Revenant
41|2018-03-02 10:51:00.1374020|1|38|tt1663202|jpg|34544|The Revenant
42|2018-03-02 10:51:04.4163079|1|18|tt0384680|jpg|40776|The Weather Man
43|2018-03-02 10:52:44.9657258|1|35|tt0451279|jpg|22612|Wonder Woman
44|2018-03-02 10:53:16.5575330|1|16|tt1068680|jpg|30019|Yes Man
45|2018-03-02 10:53:20.5236380|1|42|tt1068680|jpg|30019|Yes Man
